repo,avgIssueLatency,nLinksOfProject,propOfWithinEcoLinks,propOfCrossEcoLinks
r888888888/danbooru,97.3020711,874,0.00228833,0.004576659
rack/rack,78.23791719,367,0.231607629,0.027247956
rack/rack-contrib,743.85072,56,0.089285714,0.035714286
radiant/radiant,78.06189091,30,0.166666667,0.133333333
rails/actioncable-examples,57.6285,8,0.375,0
rails/actionpack-xml_parser,1.1212,4,1,0
rails/activejob,5.60421667,42,0.047619048,0.023809524
rails/activerecord-deprecated_finders,304.7369,14,0.571428571,0.071428571
rails/activerecord-session_store,167.7246556,54,0.314814815,0
rails/activeresource,143.43472,76,0.210526316,0
rails/arel,138.2078619,159,0.352201258,0.031446541
rails/cache_digests,31.459825,34,0.235294118,0
rails/coffee-rails,144.7789375,24,0.666666667,0.125
rails/execjs,206.04935,18,0.444444444,0.055555556
rails/globalid,14.00905714,46,0.152173913,0
rails/homepage,0.8182,21,0.095238095,0
rails/jbuilder,52.41943333,116,0.284482759,0
rails/journey,91.47835556,36,0.444444444,0.027777778
rails/jquery-rails,27.17284,61,0.295081967,0.049180328
rails/jquery-ujs,49.6030641,151,0.21192053,0.079470199
rails/protected_attributes,91.69265,44,0.204545455,0
rails/rails,95.20441644,12925,0.104216634,0.004951644
rails/rails-controller-testing,112.9817667,6,0.333333333,0
rails/rails-dev-box,31.5205,23,0.304347826,0
rails/rails-dom-testing,4.420525,18,0.111111111,0
rails/rails-html-sanitizer,90.41879,37,0.378378378,0
rails/rails-observers,2.43433333,25,0.28,0.04
rails/rails-perftest,4.245725,9,0.555555556,0.111111111
rails/record_tag_helper,56.1227,5,0.2,0
rails/sass-rails,128.3669141,189,0.470899471,0.005291005
rails/spring,37.029608,258,0.224806202,0.054263566
rails/sprockets,96.50250152,279,0.336917563,0.025089606
rails/sprockets-rails,73.44500656,268,0.51119403,0.026119403
rails/strong_parameters,43.20846429,89,0.247191011,0.04494382
rails/web-console,67.57696842,104,0.25,0
rails-api/active_model_serializers,105.6669683,1920,0.066145833,0.020833333
rails-api/rails-api,99.558425,71,0.197183099,0.056338028
RailsApps/rails_apps_composer,109.6763029,85,0.352941176,0.129411765
RailsApps/rails3-devise-rspec-cucumber,51.73055,11,0.727272727,0.272727273
RailsApps/rails-composer,87.73175946,69,0.376811594,0.260869565
railsmachine/shadow_puppet,326.5073833,10,0.1,0
rails-sqlserver/activerecord-sqlserver-adapter,171.6166654,196,0.147959184,0.142857143
railstutorial/sample_app_2nd_ed,1.39405,3,0.333333333,0.333333333
railsware/js-routes,72.7156619,87,0.08045977,0
rapid7/metasploit-framework,68.7640354,3796,0.002897787,0.140147524
rbCAS/CASino,37.74549333,54,0.111111111,0.055555556
rdoc/rdoc,65.76505455,102,0.264705882,0.019607843
ReadyResponder/ReadyResponder,163.7661149,192,0.036458333,0.020833333
recurly/recurly-client-ruby,97.58236429,90,0.033333333,0
redconfetti/battleship,1.6803,9,0.111111111,0.111111111
redis/redis-rb,39.27717222,202,0.03960396,0.103960396
redis-store/redis-activesupport,193.98635,37,0.054054054,0.027027027
refinery/refinerycms,53.86802121,719,0.077885953,0.058414465
reidmorrison/symmetric-encryption,4.289,1,1,0
remiprev/her,86.34924375,149,0.026845638,0
remote-wind/remote-wind,142.4343294,43,0.069767442,0
renemeye/pr3zale,71.2772,1,1,0
resgraph/acts-as-dag,675.8009,8,0.25,0.125
resque/resque,241.190955,608,0.047697368,0.049342105
rest-client/rest-client,320.301946,237,0.050632911,0.029535865
restful-routing/restful-routing,92.0086,11,0.090909091,0.090909091
retext-project/retext,663.6375889,20,0.05,0.25
rethinkdb/rethinkdb,86.32526248,5153,0.001746555,0.045992626
rgeo/activerecord-postgis-adapter,167.8724455,93,0.096774194,0.086021505
rharriso/bower-rails,42.49721923,86,0.081395349,0.255813953
riseuplabs/crabgrass-core,131.41465,116,0.025862069,0
rizumita/Safari2Tweetbot,0.203,1,1,0
robertomiranda/has_secure_token,5.0356,12,0.75,0
rocketjob/rails_semantic_logger,61.7089,1,1,0
roidrage/lograge,246.7114313,64,0.09375,0.015625
roidrage/redis-session-store,7.1648,19,0.105263158,0.052631579
RolifyCommunity/rolify,96.95756078,132,0.053030303,0.098484848
rollbar/rollbar-gem,130.5182326,171,0.058479532,0.011695906
rosenfeld/active_record_migrations,0.1996,3,0.666666667,0
rosenfeld/sequel-devise,0.2567,3,0.666666667,0
rowland/activerecord-fb-adapter,30.66438,15,0.2,0.2
rpush/rpush,83.0739375,91,0.087912088,0.307692308
rsim/oracle-enhanced,148.8484924,585,0.251282051,0.013675214
rspec/rspec-core,88.68922207,1430,0.144055944,0.031468531
rspec/rspec-expectations,70.58452612,559,0.236135957,0.021466905
rspec/rspec-mocks,59.61488793,768,0.151041667,0.016927083
rspec/rspec-rails,73.274759,756,0.347883598,0.027777778
rtomayko/rack-cache,178.4252833,46,0.217391304,0.043478261
rubinius/rubinius,109.384615,949,0.159114858,0.08113804
ruby/psych,83.95067955,206,0.189320388,0.058252427
ruby/rake,84.31780833,72,0.444444444,0
ruby-bench/ruby-bench-web,25.268,26,0.038461538,0.038461538
rubycentral/cfp-app,132.1085,12,0.25,0
ruby-china/homeland,151.4967917,143,0.048951049,0.202797203
ruby-concurrency/concurrent-ruby,65.07747778,559,0.064400716,0.048300537
rubygems/guides,104.1896625,56,0.446428571,0.107142857
rubygems/rubygems,154.872615,749,0.217623498,0.053404539
rubygems/rubygems.org,275.5046729,696,0.100574713,0.047413793
ruby-grape/grape,106.4043887,1895,0.04591029,0.030079156
ruby-grape/grape-entity,90.46533333,141,0.134751773,0.078014184
RubyMoney/money,22.06811951,190,0.131578947,0.031578947
RubyMoney/money-rails,48.48778125,123,0.146341463,0.040650407
rubymotion/motion-support,104.2746,15,0.466666667,0.133333333
rubymotion/sugarcube,37.96047,22,0.136363636,0.090909091
rubynoname/ShowNotes,6.2571,2,0.5,0
ruby-rdf/rdf,54.75045,90,0.144444444,0.188888889
rubysec/ruby-advisory-db,138.7189214,95,0.178947368,0.157894737
rubysherpas/forem,72.30289595,261,0.038314176,0.295019157
rubysherpas/paranoia,127.0370688,193,0.165803109,0.18134715
rubytaiwan/AMA,3.3106,8,0.5,0.125
rubytaiwan/rubytw-reboot,1.4428,31,0.064516129,0
rubyworks/tapout,2.8026,3,0.666666667,0
ruvetia/ruvetia.org,9.87026,10,0.1,0
rvm/rvm,34.90331104,2151,0.062761506,0.063691306
ryanb/cancan,180.7994109,403,0.049627792,0.004962779
salsify/goldiloader,94.49349091,32,0.40625,0
SamSaffron/MiniProfiler,114.9846167,26,0.115384615,0.038461538
sanemat/actionview-link_to_blank,0.5405,8,0.125,0
sass/sass,54.69629065,2162,0.059666975,0.053654024
scambra/devise_invitable,29.929482,91,0.164835165,0.010989011
SchemaPlus/schema_monkey,157.95145,9,0.444444444,0.111111111
SchemaPlus/schema_plus,83.20245769,85,0.176470588,0.176470588
SchemaPlus/schema_plus_core,96.23805,15,0.4,0.066666667
SchemaPlus/schema_validations,288.800225,23,0.347826087,0.086956522
schneems/maildown,326.4798667,9,0.111111111,0.111111111
schneems/puma_worker_killer,9.71053333,25,0.28,0.16
schneems/sextant,10.27524,10,0.4,0
schneems/wicked,152.6528737,42,0.047619048,0
scholarslab/prism,27.38519474,25,0.16,0
SciRuby/nmatrix,57.95642985,306,0.013071895,0.026143791
scottohara/loot,141.2628583,23,0.173913043,0.47826087
SCPR/SCPRv4,53.85615,159,0.012578616,0.094339623
seamusabshere/upsert,151.51004,37,0.054054054,0.054054054
searls/jasmine-rails,151.4494125,94,0.095744681,0.180851064
seattlerb/minitest,81.9501561,135,0.125925926,0.111111111
seattlerb/minitest-focus,507.2158,4,0.75,0
seejohnrun/ice_cube,140.5373821,117,0.025641026,0.085470085
seiyanuta/busybook,27.0793,1,1,0
SeleniumHQ/selenium,35.2531876,652,0.01993865,0.219325153
seyhunak/twitter-bootstrap-rails,232.5969688,280,0.089285714,0.160714286
sferik/rails_admin,144.673317,708,0.111581921,0.016949153
sferik/twitter,25.77925,200,0.065,0.17
shakacode/react_on_rails,37.68782927,344,0.156976744,0.113372093
shakacode/react-webpack-rails-tutorial,49.6822875,192,0.1875,0.1875
sharetribe/sharetribe,53.23659615,294,0.054421769,0.037414966
shirasagi/shirasagi,22.03060159,260,0.030769231,0.003846154
Shopify/embedded-app-example,3.9602,14,0.428571429,0
Shopify/identity_cache,117.48415,132,0.090909091,0.015151515
Shopify/shipit-engine,74.666122,292,0.023972603,0.205479452
Shopify/shopify_api,137.7359286,72,0.194444444,0.069444444
Shopify/shopify_app,75.43937353,134,0.119402985,0.037313433
Shopify/structured-event-logger,0.0161,2,0.5,0
Shopify/twine,226.8889,27,0.074074074,0
sijbrandij/railsgirls-nl,0.0141,8,0.125,0
simi/mongoid_paranoia,44.638175,23,0.260869565,0.130434783
sinatra/rack-protection,265.7150917,46,0.304347826,0.130434783
sinatra/sinatra,86.4106038,314,0.171974522,0.079617834
sindresorhus/generator-nm,54.29204,48,0.083333333,0.5
skylightio/skylight-ruby,90.23755714,17,0.176470588,0.294117647
skywinder/github-changelog-generator,42.73677551,234,0.02991453,0.226495726
slim-template/slim,71.87096528,164,0.164634146,0.152439024
slim-template/slim-rails,49.48203333,29,0.24137931,0.034482759
smartinez87/exception_notification,209.9060636,107,0.102803738,0.009345794
smashingboxes/boxcar,10.8937,4,0.25,0
smison/habits,0.4277,2,1,0
Snorby/snorby,213.8020421,50,0.02,0.02
sodabrew/puppet-dashboard,33.32682,80,0.0875,0.1
sodabrew/puppet-dashboard-wip,1.2969,2,1,0
softace/activerecord-tableless,0.55345,9,0.333333333,0.111111111
solidusio/solidus,36.18593415,917,0.100327154,0.030534351
sonots/activerecord-refresh_connection,3.0406,3,0.333333333,0
souche-hero/ruby-daily,6.013325,5,0.8,0
sparklemotion/nokogiri,188.9764073,499,0.106212425,0.082164329
sparklemotion/sqlite3-ruby,86.04366563,125,0.176,0.024
SpartaHack/SpartaHack-Website,0.5769,43,0.023255814,0
splitrb/split,266.4301638,152,0.013157895,0.105263158
sporkmonger/addressable,145.5379588,68,0.073529412,0.176470588
sporkrb/spork,39.37807143,38,0.342105263,0.263157895
sportngin/hubstats,1.8147,9,0.333333333,0
sportngin/okcomputer,66.87009231,56,0.071428571,0
spree/deface,94.8704375,48,0.229166667,0.041666667
spree/spree,51.6061083,2451,0.077927377,0.041615667
spree/spree_auth_devise,56.75311429,100,0.31,0.03
spree-contrib/spree_i18n,49.41673333,163,0.214723926,0.171779141
spree-contrib/spree_social,36.97101667,41,0.195121951,0.146341463
spree-contrib/spree_static_content,45.03822143,50,0.16,0.16
spree-contrib/spree_store_credits,35.43296667,13,0.307692308,0.076923077
spree-contrib/spree_wishlist,14.3612,19,0.315789474,0.157894737
spring-projects/spring-security,202.4366246,1077,0.000928505,0.076137419
sstephenson/execjs,199.79095,56,0.267857143,0.125
sstephenson/sprockets,80.04192473,238,0.445378151,0.092436975
state-machines/state_machines-activerecord,14.604875,23,0.217391304,0.217391304
stefankroes/ancestry,520.4041,58,0.068965517,0
stefanpenner/ember-inflector,8.90642,15,0.2,0.666666667
straydogstudio/axlsx_rails,106.9668857,13,0.076923077,0.307692308
stripe/stripe-ruby,77.16724259,246,0.036585366,0.044715447
strongqa/howitzer,48.1315,14,0.142857143,0
studentinsights/studentinsights,22.65845138,684,0.005847953,0.013157895
stylish-userstyles/userstyles,111.86705,30,0.233333333,0.7
subvisual/council,122.70306,37,0.027027027,0.351351351
sul-dlss/argo,32.94396364,530,0.018867925,0.064150943
sul-dlss/dor-workflow-service,5.8379,13,0.076923077,0
SumOfUs/Champaign,7.9187,52,0.115384615,0.211538462
sunlightlabs/opencongress,18.52812,27,0.037037037,0.222222222
sunspot/sunspot,192.1194913,199,0.055276382,0.070351759
Sutto/rocket_pants,79.01456667,18,0.222222222,0
svenfuchs/i18n,628.7641207,99,0.191919192,0.070707071
svenfuchs/rails-i18n,191.4914046,98,0.193877551,0.040816327
svenfuchs/routing-filter,45.47295,13,0.153846154,0
swanandp/acts_as_list,445.1367423,108,0.064814815,0.018518519
swanson/stringer,98.17442931,173,0.057803468,0.057803468
symfony/symfony,122.4638472,16396,0.004086363,0.055867285
tbalthazar/admin_security,0.0421,1,1,0
tcocca/acts_as_follower,216.7834,24,0.041666667,0.041666667
teampoltergeist/poltergeist,243.5257423,421,0.244655582,0.083135392
technicalpickles/pager_duty-connection,149.66415,15,0.066666667,0
techvision/waiable,0.0676,2,1,0
tenderlove/racc,118.83298,23,0.043478261,0.130434783
tenex/rails-assets,44.3091,160,0.18125,0.23125
testdouble/feedback,86.843475,5,0.2,0.8
test-kitchen/kitchen-digitalocean,28.8339,9,0.222222222,0.222222222
textacular/textacular,85.37802667,59,0.101694915,0.016949153
TGAC/brassica,37.67183627,464,0.002155172,0.019396552
tgriesser/knex,82.78324428,879,0.005688282,0.205915813
thebeansgroup/mail_pipes,31.80936364,20,0.05,0.3
thedarkone/rails-dev-boost,426.3603,10,0.4,0
theodi/member-directory,47.02794348,265,0.00754717,0.064150943
thesp0nge/dawnscanner,50.7485,24,0.083333333,0.166666667
the-teacher/the_comments,56.8484,11,0.909090909,0
the-teacher/the_role,198.9844,5,0.8,0
thewca/worldcubeassociation.org,65.79011298,758,0.013192612,0.170184697
thiagopradi/octopus,323.8596606,283,0.056537102,0.010600707
thibaudgg/rb-fsevent,67.1324625,22,0.272727273,0.227272727
Thibaut/devdocs,47.44186327,90,0.044444444,0.044444444
thorin/redmine_ldap_sync,17.88954643,41,0.024390244,0.097560976
thoughtbot/bourbon,73.29516017,346,0.089595376,0.095375723
thoughtbot/capybara-webkit,177.6071247,408,0.137254902,0.036764706
thoughtbot/clearance,67.15751094,195,0.107692308,0.025641026
thoughtbot/dotfiles,79.96140313,175,0.114285714,0.142857143
thoughtbot/ember-cli-rails,45.70878415,353,0.039660057,0.203966006
thoughtbot/factory_girl,122.7131374,211,0.142180095,0.018957346
thoughtbot/factory_girl_rails,104.6289267,53,0.264150943,0.075471698
thoughtbot/guides,134.1019333,131,0.190839695,0.183206107
thoughtbot/high_voltage,26.63642353,53,0.132075472,0.037735849
thoughtbot/laptop,62.33610317,235,0.080851064,0.153191489
thoughtbot/paperclip,184.5753023,802,0.038653367,0.05361596
thoughtbot/scenic,43.68616364,76,0.118421053,0.013157895
thoughtbot/shoulda,271.1916035,65,0.461538462,0
thoughtbot/shoulda-matchers,80.24575741,593,0.096121417,0.015177066
thoughtbot/suspenders,55.44300541,430,0.18372093,0.065116279
thredded/thredded,76.07622632,235,0.029787234,0.085106383
thuss/standalone-migrations,89.7009,40,0.15,0.05
tj/terminal-table,407.8612818,30,0.033333333,0.266666667
tleish/redmine_revision_branches,134.681,1,1,0
toland/patron,593.20286,34,0.058823529,0.058823529
tolk/tolk,102.5333222,37,0.108108108,0.027027027
tombenner/nested-hstore,13.83576667,5,0.8,0
tomchristie/django-rest-framework,63.86979085,2286,0.003937008,0.029746282
Tonkpils/double-redirect-rails-issue,0.1948,1,1,0
tonycoco/pusherable,237.4655,2,0.5,0.5
toptal/chewy,65.280144,90,0.055555556,0.011111111
tors/jquery-fileupload-rails,566.4216333,13,0.230769231,0.153846154
tpope/vim-rails,94.31394091,56,0.053571429,0.125
TracksApp/tracks,8.13726764,831,0.015643803,0.001203369
trailblazer/trailblazer,46.7662,57,0.140350877,0.385964912
travis-ci/apt-package-whitelist,19.90850249,2244,0.153743316,0.016488414
travis-ci/travis-ci,81.00995289,3332,0.087935174,0.284213685
travis-ci/travis-sso,6.9311,4,0.25,0.25
travisjeffery/timecop,97.92623636,66,0.045454545,0
triAGENS/guacamole,79.348575,65,0.030769231,0.046153846
trptcolin/consistency_fail,12.859675,14,0.071428571,0.071428571
tryshoppe/shoppe,70.59372424,78,0.064102564,0.064102564
tsechingho/chosen-rails,96.64761429,26,0.192307692,0.384615385
turbolinks/turbolinks,9.59537941,105,0.257142857,0.057142857
turbolinks/turbolinks-classic,35.70283821,704,0.014204545,0.049715909
turingschool/curriculum,50.33708333,72,0.097222222,0.208333333
twbs/bootstrap-sass,31.61417533,745,0.153020134,0.230872483
twitter/secureheaders,83.3465963,125,0.032,0.024
typhoeus/typhoeus,74.20179333,128,0.1171875,0.203125
typus/typus,189.9993133,55,0.054545455,0.163636364
tzinfo/tzinfo,48.97554,15,0.133333333,0.066666667
tzinfo/tzinfo-data,5.8637,2,1,0
Undev/redmine_elasticsearch,147.23175,12,0.083333333,0
usutani/lodge,30.2663,6,0,0.333333333
validator/validator,17.89610233,97,0.020618557,0.360824742
vigetlabs/gulp-rails-pipeline,78.4582,16,0.375,0
vigetlabs/sprig-reap,105.2505,14,0.142857143,0
vmcilwain/cnr,0.0169,1,1,0
waffletroop/waffle-test,26.7858,6,0.166666667,0
wanelo/counter-cache,0,1,1,0
whitequark/parser,32.26498684,92,0.282608696,0.032608696
whitequark/rack-utf8_sanitizer,74.14315,16,0.3125,0.0625
winston/rails_utils,1.38185,7,0.571428571,0.142857143
withassociates/slices,14.54925,47,0.085106383,0.021276596
wr0ngway/lumber,0.0072,2,0.5,0.5
wvanbergen/scoped_search,97.55076667,46,0.043478261,0
wycats/rack-offline,507.1557,7,0.142857143,0.142857143
xentek/dm-postgres-types,20.6802,2,0.5,0
YaleSTC/reservations,136.8977169,1917,0.014606155,0.008346375
YaleSTC/shifts,181.4110629,328,0.051829268,0.006097561
yasslab/railsguides.jp,22.56298182,76,0.157894737,0.039473684
yellow5/foreigner-matcher,0.101,3,0.333333333,0
yeoman/generator-webapp,37.92218947,224,0.0625,0.245535714
yesodweb/yesod-scaffold,111.5329429,52,0.019230769,0.461538462
yiisoft/yii,193.5277941,1893,0.004754358,0.028526149
yochiyochirb/kajaeru,14.11316667,187,0.032085561,0
yucao24hours/elt,19.43905,94,0.010638298,0.042553191
yuki24/rambulance,36.80545,2,0.5,0
zdennis/activerecord-import,272.5463526,186,0.069892473,0.005376344
zendesk/charcoal,2.5838,3,0.333333333,0
zendesk/samson,124.7375211,293,0.068259386,0.044368601
zeroclipboard/zeroclipboard-rails,70.17724,16,0.1875,0.4375
zipmark/rspec_api_documentation,259.2515389,64,0.0625,0.015625
zmbacker/enum_help,397.9283,5,0.6,0
zooniverse/Panoptes,33.17277971,1013,0.028627838,0.075024679
zzak/rdoc-rouge,333.226,2,0.5,0.5
zzak/sdoc,211.9063125,34,0.294117647,0.117647059
